semester|name|name_english|code|language|lecturer|assistant|level|hours_per_week|ects|goals|description|references|frequency|time_schedule|number_of_students|softskill_students|free_auditor|erasmus_students|condition|examination_regulation|exam_session|exam_date|type_of_evaluation|exam_duration|exam_language|study_program
SA 14 + SP 15 (cours annuel)|Droit fiscal||5630.033||Torrione H.||Master|2|6|Ces information sont sur le site  gestens droit.|Ces information sont sur le site  gestens droit.|Ces information sont sur le site  gestens droit.|-|||||||||||||Valable pour les programmes suivants: Master en gestion d�entreprise; Module 5: Accounting and Control (ACC) Master in Accounting and Finance; Module Accounting and Control (ACC) Master in European Business; Modul Accounting and Control (ACC)
HS 14 + FS 15 (Jahreskurs)|Steuerrecht|Tax Law|5630.034|deutsch|Hinny P.||Master|2|6|Die Studierenden sollen am Ende der Vorlesung:-          den Aufbau des Schweizer Steuersystems und der im Bund den Kantonen erhobenen Steuerarten kennen und verstehen-          in den Grundz�gen erkennen, welche steuerliche Relevanz Rechtsbeziehungen und wirtschaftliche Vorg�nge haben-          einfachere Steuerprobleme selbst�ndig l�sen k�nnen-       einfache Buchf�hrungsfragen selbst�ndig l�sen k�nnen|Einf�hrung in das Schweizer Steuerrecht: Grundlagen und Grundbegriffe; Einf�hrung in das Recht der direkten Steuern (Einkommens- und Verm�genssteuern nat�rlicher Personen und Gewinn- und Kapitalsteuern juristischer Personen, einschliesslich Verfahrens- und Steuerstrafrecht); Einf�hrung in die Spezial- und Verkehrssteuern, insbesondere Eidg. Verrechnungssteuer, Grundst�ckgewinnsteuer, Mehrwertsteuer, Stempelabgaben, Erbschafts- und Schenkungssteuern sowie Hand�nderungssteuer.Einf�hrung in die kaufm�nnische Buchf�hrung.|Ernst H�hn / Robert Waldburger, Steuerrecht, Band I, 9. Aufl., Bern 2001 (H�rerscheine werden zu Beginn der Vorlesung verteilt)J�rg Leimgruber / Urs Prochinig, Buchhaltung in 20 Stunden, 4. Aufl. 2003, Verlag SKV, ISBN 978-3-286-32444-2Steuergesetze (auch zur Verwendung an der Pr�fung erlaubt)- amtliche Ausgabe oder- private Gesetzessammlungen von    * Gygax/Gerber, Steuergesetze des Bundes oder    * Hinny, Steuerrecht 2008, Textausgabe mit Anmerkungen (H�rerschein erh�ltlich)|-|||||||||||||Zählt für die folgenden Programme: Master in Betriebswirtschaftslehre; Wahlmodul 5: Accounting and Control (ACC) Master in Accounting and Finance; Modul Accounting and Control (ACC) Master in European Business; Modul Accounting and Control (ACC)
HS 14 (Semesterkurs)|Atelier SPSS I||6650-0162|deutsch|Leuenberger Ch.||Bachelor|-|-|Ziel ist es, SPSS kennen zu lernen, Grundmanipulationen durchzuf�hren, und dadurch die Nutzungsprinzipien zu erlernen, um SPSS f�r weitere Datenanalysen zu benutzen.|In diesem SPSS Atelier werden die Grundlagen der Benutzung vom Programm SPSS vorgestellt. Ziel ist es, SPSS kennen zu lernen, Grundmanipulationen durchzuf�hren, und dadurch die Nutzungsprinzipien zu erlernen, um SPSS f�r weitere Datenanalysen zu benutzen. Das Atelier hat die Form eines Onlinekurses, der im autonomen Lernen durchgef�hrt wird. Seine Grundbest�nde sind Videosequenzen, welche die verschiedenen Manipulation von SPSS erkl�ren, sowie �bungen zu diesen Manipulationen. Der Computersaal hat nur eine sehr beschr�nkte Anzahl Pl�tze -- deshalb sollten Sie das Atelier wenn m�glich zu Hause bearbeiten!||jedes Jahr|||||||Reglement vom 19. Mai 2014 der Examina an der Wirtschafts- und Sozialwissenschaftlichen Fakult�t der Universit�t Freiburg|||Fortlaufende Evaluation: Fristen: Um sich in der Wintersession 2015 f�r Introduction � la statistique I / Einf�hrung in die Statistik I einschreiben zu k�nnen, muss das Atelier SPSS sp�testens am 26. November 2014 (Mitternacht) bestanden sein, f�r die Wiederholungssession 2015 sp�testens am 8. Juli 2015 (Mitternacht)||französisch; deutsch|Zählt für die folgenden Programme: Medien- und Kommunikationswissenschaft: Hauptfach - zweites / drittes Jahr Medien- und Kommunikationsw.: Bachelornebenfach (60 ECTS) Benefri-Konvention Wirtschaftswissenschaften
SA 14 (cours semestriel)|Atelier SPSS I||6650-0162|français|Leuenberger Ch.||Bachelor|-|-|Le but est d'apprendre � conna�tre SPSS, d'y effectuer des manipulations de base, pour apprendre les principes d'utilisation de ce logiciel, et pouvoir l'utiliser pour des analyses futures.|Cet atelier SPSS pr�sente les fondements de l'utilisation du logiciel SPSS. Le but est d'apprendre � conna�tre SPSS, d'y effectuer des manipulations de base, pour apprendre les principes d'utilisation de ce logiciel, et pouvoir l'utiliser pour des analyses futures. Le nombre de places dans la salle d'ordinateurs est tr�s limit� -- il est donc fort recommand� de travailler sur l'atelier � la maison!||chaque ann�e|||||||R�glement du 19 mai 2014 sur l'organisation des �tudes et des examens � la Facult� des sciences �conomiques et sociales de l'Universit� de Fribourg|||Evaluation continue: D�lais: pour s�inscrire � la session d'hiver � l'�preuve  Introduction � la statistique I / Einf�hrung in die Statistik I, il faut r�ussir l�atelier au plus tard le 26 novembre 2014 (minuit) et pour la session de rattrapage au plus tard le 8 juillet 2015  (minuit)||français|Valable pour les programmes suivants: Medien- und Kommunikationswissenschaft: Hauptfach - zweites / drittes Jahr Medien- und Kommunikationsw.: Bachelornebenfach (60 ECTS) Benefri-Konvention Wirtschaftswissenschaften
AS 14 (Semester Course)|Advanced Group Accounting||6620-0412|English|Kunz A.||Master|3|4.5|The objective is to develop a sound conceptual understanding of and appreciation for the significant national and international accounting and reporting requirements pertaining to business combinations and their affiliated entities.|This is an advanced course in group accounting and consolidation. The principal objective is to continue students� education in this field through an examination of more complex accounting issues. The main course objectives are the following: 1. Develop the conceptual understanding of and appreciation for the significant accounting and reporting requirements pertaining to consolidated or affiliated enterprises and foreign currency transactions and translations on consolidated financial statements.2. Improve the ability to interpret and use financial statements describing the financial condition and operating result of affiliated business entities, including multinational organizations.3. Develop a thorough understanding of different national and international accounting regulations with respect to group accounting, in particular to Swiss GAAP RCP, IFRS and in part to US-GAAP.4. Expand the technical proficiency in accounting for transactions involving partnerships and affiliated business enterprises and in the preparation of consolidated financial statements.||each year|||||||Regulations from May 19th, 2014 on the organisation of assessments at the Faculty of Economics and Social Sciences of the University of Fribourg|Winter  15; Re-assessment 15||written exam: closed book exam/ examen sans annotationNo course enrollment at semester start.The registration period winter period 2014 for the exam will be from December 1st  to December 12th 2014 on mySES.The registration period re-assessment period 2015 for the exam will be from July 13th to August 3th 2015 on mySES.	Without registration in the given period, no exam in the choosen period can be taken. Please take note of the deadline.|90 Min|English|Valid for the following programmes: Master in Management; Module 5: Accounting and Control (ACC) Master in Accounting and Finance; Module Accounting and Control (ACC) Master in European Business; Module Accounting and Control (ACC) Benefri-Konvention Wirtschaftswissenschaften
AS 14 (Semester Course)|Applied Econometrics||6630-0065|English|Huber M.||Bachelor|3|4.5|Students should be able to understand and practically apply the statistical/econometric models and methods discussed in the lecture.|This course is an extension of the basic course Statistik II (statistics II). Building on the introductory econometric concepts of the latter,  Applied Econometrics deals with econometric methods and their practical application in the presence of particular problems such as:   1)	nonlinear models2)	heteroscedasticity (non-constant variances of the residuals)3)	non-random sampling4)	measurement errors in variables5)	omitted variables and endogeneity 6)	time constant omitted variables (�fixed effects�) in panel dataAs practical illustration and for further intuition, the contents of the lecture are applied to real data in 5 PC lab sessions using the statistical software �R (studio)�. A short introduction to �R (studio)� is provided in the first PC lab.|Wooldridge, J. M. (2013): Introductory Econometrics. A Modern Approach, 5th edition, Cengage Learning.|each year|||||||Regulations from May 19th, 2014 on the organisation of assessments at the Faculty of Economics and Social Sciences of the University of Fribourg|Winter  15; Re-assessment 15||written exam: and participation in PC labsNo course enrollment at semester start.The registration period winter period 2014 for the exam will be from December 1st  to December 12th 2014 on mySES.The registration period re-assessment period 2015 for the exam will be from July 13th to August 3th 2015 on mySES.	Without registration in the given period, no exam in the choosen period can be taken. Please take note of the deadline.|90 Min|German; English|Valid for the following programmes: Bachelor in Economics Benefri-Konvention Wirtschaftswissenschaften
AS 14 (Semester Course)|Business and Human Rights||6610-0501|English|Umlas E.||Master|2|3|Provide a solid grounding in the emerging field of business and human rights, and enable students to apply key concepts learned to practical, real-life examples of companies and their stakeholders facing challenges in this area|The course seeks to provide a solid grounding in business and human rights as an emerging and rapidly developing field. Students should be able to apply key concepts learned to practical, real-life examples, and to understand current and evolving debates around corporate responsibility to respect human rights. The first part of the course introduces the field of business and human rights (why human rights matter to business; the state of the international debate on corporate responsibility to respect human rights; the evolution of the UN framework and Guiding Principles on business and human rights) and presents an overview of measures and mechanisms through which stakeholders might hold business accountable for this responsibility (legal mechanisms; multi-stakeholder initiatives; civil society organization campaigns; shareholder activism; corporate reporting; emerging international standards). The second part takes a more sectoral/thematic approach, focusing on several areas that pose particularly difficult human rights challenges for companies (extractive industries; supply chain labor standards; operating in conflict areas), examining key issues in these areas and exploring how companies, civil society organizations, governments and other stakeholders have sought to address these. The course concludes with a brief survey of emerging topics in business and human rights as well as potential new business models (e.g. �benefit corporations�) and their implications for corporate responsibility to respect human rights.||each year|||||||Regulations from May 19th, 2014 on the organisation of assessments at the Faculty of Economics and Social Sciences of the University of Fribourg|Winter  15; Re-assessment 15||Continuous evaluation + oral examThe registration period on mySES for this course / seminar will be from September 1st 9h00  to October 3th 2014. The registration for this course / seminar also implies the registration to the assessment period.After October 3th 2014, you cannot register any more to the course / seminar nor withdraw from the course / seminary|15 Min|French; English|Valid for the following programmes: Master in Economics; Offer Master list Economics Master in Economics; Specialization Ethics and Economics; Module I : �thique et droits humains Ethics and Economics: 30 ECTS Minor Master; Module I : �thique et droits humains Benefri-Konvention Wirtschaftswissenschaften
AS 14 (Semester Course)|Advanced Managerial Accounting||SEGE02A024|English|Burkert M.||Master|3|4.5|This course is supposed to deepen the students� understanding of management accounting methods and their role for effective managerial decision-making. Students are enabled to critically evaluate the validity of cost information and to dig behind the numbers.|Formerly �Dezentrale Unternehmenssteuerung�:Management accountants provide managers with cost accounting data for effective decision-making, planning and controlling.This course builds on previous courses on management accounting from the bachelor program and covers more advanced topics such as different budgeting and transfer pricing methods.Besides illustrating specific management accounting techniques a special emphasis is placed on the development of analytical skills. In order to foster this, Monte Carlo simulation techniques are introduced to demonstrate how more accurate cost predictions can be derived leading to enhanced decision-making and cost control.Students will be encouraged to discuss the results of excel based exercises in class and to participate in a business case on management accounting.|Will be announced at the beginning of the course|every 2 years|||||||Regulations from May 19th, 2014 on the organisation of assessments at the Faculty of Economics and Social Sciences of the University of Fribourg|Winter  15; Re-assessment 15||Continuous evaluation + written exam: � Group work and presentations: 40% of the grade� Written Exam: 60% of the gradeGroup work and presentations make up 40% of the grade but only if written exam is passed!If a retake exam session is to be done, grading of the course is based on exam only (100% of the grade).The registration period on mySES for this course / seminar will be from September 1st 9h00  to October 3th 2014. The registration for this course / seminar also implies the registration to the assessment period.After October 3th 2014, you cannot register any more to the course / seminar nor withdraw from the course / seminary|60 Min|English|Valid for the following programmes: Master in Management; Module 1: Strategic and General Management (STM) Master in Management; Module 5: Accounting and Control (ACC) Master in Accounting and Finance; Module Accounting and Control (ACC) Master in European Business; Module Accounting and Control (ACC) Master in European Business; Module Strategic and General Management (STM) Benefri-Konvention Wirtschaftswissenschaften
HS 14 (Semesterkurs)|BWL I: Personalökonomie|Human Resources Management|SEGE02A046|deutsch|Gm�r M.||Bachelor|3|4.5|Ziel dieses Kurses ist, den Studierenden ein theoriegeleitetes Verst�ndnis zu Problemen des Personalmanagement in Unternehmen und Nonprofit-Organisationen sowie Einblick in die Praxis durch Fallbeispiele und empirische Studien in diesem Feld zu vermitteln. Zudem sollen die Studierenden am Ende der Vorlesung in der Lage sein, internationale wissenschaftliche Literatur zu recherchieren und f�r Seminar- oder Bachelorarbeiten zu nutzen.|In der Vorlesung mit eingestreuten �bungsteilen werden den Studierenden die Grundlagen des Personalmanagements (Human Resource Management) kennen. Im Einzelnen geht es um die Gewinnung, die Entwicklung, den Erhalt und die Freistellung personeller Ressourcen. Der Kurs basiert auf �konomischen und verhaltenswissenschaftlichen Theorien, welche mit praktischen Beispielen und Fallstudien angereichert werden.|Die Vorlesung baut auf einem Lehrbuch (Pflichtlekt�re) auf: M. Gm�r & Jean-Paul Thommen: Human Resource Management: Strategien und Instrumente f�r F�hrungskr�fte und das Personalmanagement. 4. Auflage, Z�rich 2014. Zus�tzlich dazu werden Pr�sentationsfolien, Beispielstudien zur empirischen Personalforschung sowie eine begleitende Fallstudie bereit gestellt.|jedes Jahr|||||||Reglement vom 19. Mai 2014 der Examina an der Wirtschafts- und Sozialwissenschaftlichen Fakult�t der Universit�t Freiburg|Winter 15; Wiederholung 15|Winter 15 schriftliche Pr�fung Di 06.01.2015; 14:00 Wiederholung 15 schriftliche Pr�fung Di 18.08.2015; 14:00|schriftliche PrüfungKeine Kurseinschreibung zu Semesterbeginn.Die Pr�fungseinschreibung Wintersession 2015 findet vom 1. Dezember bis 12. Dezember 2014 auf mySES statt.Die Pr�fungseinschreibung Wiederholungssession 2015 findet vom 13. Juli bis 3. August 2015 auf mySES statt.	Ohne Einschreibung in der genannten Frist k�nnen keine Pr�fungen in der gew�hlten Session abgelegt werden. Bitte merken Sie sich den Termin unbedingt vor.|60 Minuten|deutsch|Zählt für die folgenden Programme: Bachelor in Betriebswirtschaftslehre Master in Betriebswirtschaftslehre; Wahlmodul 2: Organization and Human Resource Management (OHR) Betriebswirtschaftslehre: Bachelornebenfach (60 ECTS) Betriebswirtschaftslehre: Bachelornebenfach (30 ECTS) Wirtschaftsinformatik: Bachelornebenfach (60 ECTS) für BSc INF Business Communication - Betriebswirtschaftslehre: Bachelornebenfach (60 ECTS) Benefri-Konvention Wirtschaftswissenschaften
AS 14 (Semester Course)|Case studies in international strategy||6620-0554|English|Gr�nig R.||Master|3|4.5|General objective:To be able to systematically approach an issue in international strategy and to produce a clear solutionSubgoals:● To have an overview of international strategy● To know important methodological approaches and to be able to apply them in a real case● To get the needed information through company documents, interviews and internet ● To carry out a strategic analysis and to propose a solution to a real issue● To present and justify analysis and proposition|Course content: ● Introduction to international strategies ● Group work on real cases in international strategy● Group presentations and discussions on real cases in international strategyIntroduction on Monday 15.09.2014Block course on Friday 26.09.2014 Briefing at Sika on Wednesday 08.10.2014Discussions of the groups with the lecturer on Monday 10.11.2014Group presentations in presence of the CEO of Sika on Friday 05.12.2014 There will be 3 working groups of 4 students for working on real cases|Handouts with attachments|each year|||||||Regulations from May 19th, 2014 on the organisation of assessments at the Faculty of Economics and Social Sciences of the University of Fribourg|Winter  15; Re-assessment 15||oral exam: 50%group presentation: 50%The registration period on mySES for this course / seminar will be from September 1st 9h00  to October 3th 2014. The registration for this course / seminar also implies the registration to the assessment period.After October 3th 2014, you cannot register any more to the course / seminar nor withdraw from the course / seminary|15 Min.|English|Valid for the following programmes: Master in Management; Module 1: Strategic and General Management (STM) Master in Management; Module 8: European Business (EUB) Master in European Business; Module European Business (EUB) Master in European Business; Module Strategic and General Management (STM) Benefri-Konvention Wirtschaftswissenschaften
